Sigma,Average F1,Average Rand Index,Average Adj Rand Index,Average Jaccard Index,Average Number of Clusters,Average Cluster Size
0.1,0.6096875,0.460659722,-0.024625075,0.29420409,10.86,8.952697012
0.2,0.5946875,0.460823413,-0.0116684,0.303746258,8.25,12.35920153
0.3,0.6003125,0.471681548,-0.008939511,0.293777024,8.23,13.21712007
0.4,0.611875,0.492916667,0.015371974,0.304651982,9.04,12.28752722
0.5,0.60484375,0.472108135,0.02127629,0.317834245,7.93,12.36792353
0.6,0.61328125,0.49671131,0.038045184,0.320804415,8.48,11.58206166
0.7,0.62109375,0.493234127,0.04051212,0.314960886,9.69,10.77575725
0.8,0.611875,0.485302579,0.025421051,0.313398556,8.83,11.14345991
0.9,0.61296875,0.498462302,0.028528876,0.322971933,8.54,11.67033292
1,0.61359375,0.4871875,0.024695721,0.312410154,9.43,10.80039064
1.1,0.6165625,0.488769841,0.031375486,0.32059456,8.9,11.06544129
1.2,0.62203125,0.490500992,0.030090404,0.311081824,9.95,9.790874611
1.3,0.61953125,0.497857143,0.032792627,0.317870413,9.2,10.45423307
1.4,0.623125,0.487539683,0.028063672,0.306904794,9.68,9.804884236
1.5,0.62078125,0.493888889,0.02715886,0.299064608,10.06,9.780552489
1.6,0.625625,0.50281746,0.034568967,0.294532857,10.52,8.993231498
1.7,0.62578125,0.493139881,0.032592808,0.285872016,10.6,9.012510781
1.8,0.6225,0.49327877,0.031973041,0.285534465,10.23,9.127420265
1.9,0.6209375,0.494786706,0.028272504,0.287750023,10.11,9.359913441
10,0.6121875,0.536547619,0.024722063,0.24391429,8.1,10.92394716
10.1,0.6065625,0.519573413,0.021035265,0.245064195,7.75,11.20882008
10.2,0.6034375,0.511889881,0.01970437,0.255501101,7.23,11.84486269
2,0.6240625,0.510505952,0.03053846,0.285464615,10.31,9.101527869
2.1,0.62140625,0.512331349,0.034542377,0.29070562,9.73,9.347535222
2.2,0.626875,0.514270833,0.033342013,0.280183025,10.51,8.364446583
2.3,0.62109375,0.506106151,0.030782365,0.270924039,10.2,8.834275721
2.4,0.62640625,0.52265377,0.033708775,0.272310116,10.57,8.430001995
2.5,0.62421875,0.511458333,0.028812543,0.275387726,10.05,9.138889357
2.6,0.6259375,0.514275794,0.03046142,0.261766816,10.48,8.46637471
2.7,0.62265625,0.511984127,0.030926221,0.259184212,10.31,8.280428302
2.8,0.62015625,0.51609127,0.031626328,0.255903538,9.95,8.568108465
2.9,0.6246875,0.524384921,0.034522611,0.258759229,10.3,8.346490999
3,0.61859375,0.516785714,0.029538291,0.254612743,9.87,8.858764176
3.1,0.6153125,0.51078373,0.026341386,0.257019366,9.54,9.087232701
3.2,0.61640625,0.504623016,0.031334307,0.250850271,9.74,8.700490461
3.3,0.61734375,0.516691468,0.029496948,0.255006099,9.57,8.861918694
3.4,0.6153125,0.511825397,0.029459997,0.255125443,9.17,9.280462844
3.5,0.6196875,0.510124008,0.030348906,0.243828672,9.71,8.762731752
3.6,0.621875,0.514925595,0.025953469,0.239694247,9.89,8.621010857
3.7,0.61859375,0.512514881,0.032719931,0.25122152,9.38,9.048306096
3.8,0.61734375,0.520401786,0.03371931,0.247361986,9.3,9.192972817
3.9,0.61546875,0.50859623,0.02603994,0.246185055,9.28,9.351140937
4,0.6171875,0.51952381,0.032951552,0.247817801,9.51,9.078555913
4.1,0.6128125,0.517708333,0.02352374,0.237578494,9.55,9.052317983
4.2,0.62046875,0.524890873,0.03352323,0.240597954,9.47,9.02826589
4.3,0.6178125,0.516701389,0.027818734,0.24058349,9.41,9.245605818
4.4,0.6140625,0.510729167,0.027758994,0.243181354,9.11,9.471398821
4.5,0.6159375,0.523412698,0.038494878,0.242561797,9.14,9.333120408
4.6,0.61640625,0.521150794,0.032351196,0.248728978,9.09,9.480963311
4.7,0.61828125,0.53062996,0.034686117,0.241586726,9.08,9.350782485
4.8,0.6146875,0.520639881,0.033360258,0.239464335,8.96,9.419363027
4.9,0.60875,0.51452877,0.029809115,0.247354967,8.67,10.05476587
5,0.61625,0.527837302,0.028190515,0.234161046,9.26,9.340538729
5.1,0.6125,0.521954365,0.03166776,0.239841388,8.7,9.723743979
5.2,0.61234375,0.520381944,0.026326886,0.231908264,9.17,9.767214848
5.3,0.6103125,0.51139881,0.025768773,0.238567057,8.85,10.085797
5.4,0.616875,0.523561508,0.02542549,0.240326766,9.11,9.702748647
5.5,0.613125,0.521121032,0.035000567,0.245570477,8.62,9.961039456
5.6,0.6146875,0.523551587,0.033078545,0.238817317,9.06,9.758681814
5.7,0.6109375,0.514246032,0.027522837,0.238142698,8.55,10.22524547
5.8,0.61,0.514613095,0.02474285,0.239674349,8.57,9.976821503
5.9,0.6125,0.520679563,0.027806506,0.246836244,8.51,10.50345749
6,0.6065625,0.515034722,0.024846886,0.248476021,8.19,10.59080616
6.1,0.60765625,0.516875,0.025700624,0.242613921,8.36,10.1567852
6.2,0.6121875,0.515352183,0.02840439,0.235072238,8.97,9.883308177
6.3,0.6090625,0.514960317,0.021907549,0.237146345,8.49,10.29033419
6.4,0.610625,0.512708333,0.02457089,0.235899352,8.46,10.31338534
6.5,0.608125,0.514965278,0.02677032,0.243583127,8.14,10.61910339
6.6,0.60890625,0.522162698,0.027764806,0.241011562,8.22,10.34313143
6.7,0.6134375,0.523616071,0.026935359,0.238038532,8.6,10.03235869
6.8,0.60953125,0.524980159,0.025659431,0.244103411,8.18,10.49776288
6.9,0.61328125,0.530520833,0.027207598,0.235268604,8.65,10.00129869
7,0.615,0.524573413,0.029383963,0.241288958,8.47,10.10542097
7.1,0.61265625,0.529250992,0.02465927,0.241027989,8.41,10.20479774
7.2,0.60515625,0.519960317,0.021571686,0.251890286,7.58,11.0689091
7.3,0.61203125,0.534325397,0.027755388,0.247735434,8.17,10.39858584
7.4,0.61078125,0.52421131,0.02557257,0.237642095,8.29,10.527835
7.5,0.61375,0.521746032,0.028788104,0.24643209,8.13,10.71005495
7.6,0.6096875,0.524910714,0.026941223,0.2414232,8.08,10.29486626
7.7,0.60578125,0.518700397,0.026021473,0.245286338,8.02,10.71907043
7.8,0.60671875,0.52047619,0.025172079,0.242499202,7.85,10.80675229
7.9,0.611875,0.531959325,0.02473987,0.244113433,8.16,10.45934497
8,0.60890625,0.522916667,0.024553534,0.248782531,7.79,11.19763779
8.1,0.61109375,0.531220238,0.028501292,0.242006518,8.23,10.34046536
8.2,0.60765625,0.528422619,0.02334781,0.245801606,7.74,11.00335391
8.3,0.6078125,0.528789683,0.0208489,0.248837066,7.78,11.12720402
8.4,0.6103125,0.52827381,0.030130122,0.244374634,8.1,10.62671065
8.5,0.61078125,0.520044643,0.025376379,0.23546798,8.22,10.67915778
8.6,0.60578125,0.522361111,0.020239243,0.244649269,7.84,11.06198733
8.7,0.60796875,0.528650794,0.024209037,0.253546992,7.61,11.32298654
8.8,0.61015625,0.525600198,0.027209008,0.235374122,8.21,10.63879485
8.9,0.61234375,0.53203869,0.025996665,0.240168634,8.08,10.96023397
9,0.60515625,0.525897817,0.02044186,0.248428197,7.43,11.11439069
9.1,0.6084375,0.528452381,0.025582193,0.253630659,7.49,11.17911327
9.2,0.61171875,0.527395833,0.021126198,0.251145927,7.8,11.20105382
9.3,0.60921875,0.527380952,0.026489862,0.257539743,7.51,11.24961422
9.4,0.6109375,0.530059524,0.020161156,0.249329702,7.99,11.09117806
9.5,0.6053125,0.526314484,0.023059553,0.258739178,7.11,11.55468048
9.6,0.6071875,0.527559524,0.023337561,0.249089059,7.7,11.13705521
9.7,0.608125,0.52952877,0.027960586,0.249602999,7.75,11.19089164
9.8,0.6090625,0.530029762,0.02669651,0.248124002,7.83,11.43688499
9.9,0.60671875,0.526051587,0.02452063,0.251825999,7.73,11.3622868
