Sigma,Average F1,Average Rand Index,Average Adj Rand Index,Average Jaccard Index,Average Number of Clusters,Average Cluster Size
0.1,0.58640625,0.45390376984126973,-0.013297203281242271,0.3217504350202588,7.07,14.07782877184734
0.2,0.57953125,0.463075396825397,-0.011552102026712495,0.3159904542536889,6.17,15.372644805486908
0.3,0.58234375,0.47780257936507914,0.005339967356066763,0.31165238152325775,5.62,16.005352242528705
0.4,0.59046875,0.48992063492063487,0.02305997852228632,0.3118963242084563,6.21,14.109142973985074
0.5,0.59046875,0.4829960317460316,0.014356224055419732,0.3128483641310048,6.18,14.512816633658726
0.6,0.58984375,0.4863492063492062,0.03897562141076493,0.3210687222564326,6.09,14.306948424124892
0.7,0.5915625,0.49209821428571454,0.03637373209696896,0.3265340900476006,6.44,12.446760350760348
0.8,0.588125,0.484518849206349,0.026204329133176007,0.3203875930249882,6.27,13.234305184323755
0.9,0.6009375,0.5033680555555553,0.03347524690980864,0.31443001443846286,7.53,11.696470508507659
1,0.60109375,0.481547619047619,0.023709756761136878,0.3041065988052485,8.06,12.115644325402837
1.1,0.61640625,0.5144246031746033,0.03915813729943985,0.3012594427242229,9.11,10.500533019096483
1.2,0.6246875,0.5182688492063494,0.03735591785982204,0.28699960864705976,10.49,9.095621970049208
1.3,0.631875,0.5356597222222222,0.04511337693049588,0.28561739439407685,10.97,8.441214557028793
1.4,0.6328125,0.5366121031746032,0.040602447405169544,0.27475981176639663,11.25,7.646222323943682
1.5,0.63421875,0.5329662698412697,0.0380340550697928,0.2574532514047319,11.93,7.258949999432968
1.6,0.63546875,0.5330456349206351,0.042755025106332806,0.2472828136196402,12.2,6.490657940614591
1.7,0.63765625,0.5453869047619048,0.038783917198970556,0.2494212706285829,12.17,6.596854736594668
1.8,0.6440625,0.549578373015873,0.04836227604625769,0.23848591685833853,13.03,6.025200247293121
1.9,0.64359375,0.5506051587301587,0.04617753029773535,0.2481732253984522,12.35,6.28355014782259
10,0.6096875,0.5538541666666668,0.028397884224904028,0.19909515368648317,8.23,8.710886969239906
10.1,0.60890625,0.5488492063492062,0.02621206404088051,0.19925168676665003,8.33,8.70084775355363
